Elapsed Time (ms), Humidity (%)
1194767, 41.89
1197251, 41.85
1199736, 41.88
1202221, 41.90
1204705, 41.96
1207189, 41.97
1209674, 41.95
1212158, 41.93
1214643, 41.94
1217127, 41.92
1219612, 41.88
1222096, 41.85
1224580, 41.84
1227065, 41.93
1229549, 41.83
1232034, 41.85
1234518, 41.86
1237002, 41.88
1239487, 41.86
1241971, 41.83
1244456, 41.89
1246940, 41.89
1249425, 41.85
1251909, 41.83
1254393, 41.86
1256878, 41.90
1259362, 41.87
1261847, 41.84
1264331, 41.88
1266815, 41.89
1269300, 41.86
1271784, 41.81
1274269, 41.81
1276753, 41.78
1279237, 41.75
1281722, 41.83
1284206, 41.82
1286691, 41.80
1289175, 41.80
1291659, 41.81
1294144, 41.78
1296628, 41.80
1299113, 41.75
1301597, 41.74
1304081, 41.80
1306566, 41.71
1309050, 41.73
1311535, 41.69
1314019, 41.70
1316503, 41.71
1318988, 41.69
1321472, 41.73
1323957, 41.69
1326441, 41.64
1328926, 41.57
1331410, 41.63
1333894, 41.64
1336379, 41.60
1338863, 41.60
1341348, 41.68
1343832, 41.60
1346316, 41.62
1348801, 41.64
1351285, 41.60
1353770, 41.59
1356254, 41.62
1358738, 41.57
1361223, 41.63
1363707, 41.64
1366192, 41.62
1368676, 41.64
1371161, 41.56
1373645, 41.64
1376129, 41.59
1378614, 41.59
1381098, 41.58
1383583, 41.56
1386067, 41.56
1388552, 41.50
1391036, 41.57
1393520, 41.59
1396005, 41.57
1398489, 41.57
1400974, 41.55
1403458, 41.60
1405942, 41.60
1408427, 41.62
1410911, 41.58
1413396, 41.56
1415880, 41.57
1418364, 41.60
1420849, 41.58
1423333, 41.57
1425818, 41.56
1428302, 41.53
1430787, 41.54
1433271, 41.51
1435755, 41.51
1438240, 41.53
1440724, 41.50
1443209, 41.50
1445693, 41.53
1448177, 41.55
1450662, 41.51
1453146, 41.52
1455631, 41.56
1458115, 41.55
1460600, 41.52
1463084, 41.48
1465568, 41.47
1468053, 41.49
1470537, 41.50
1473022, 41.48
1475506, 41.49
1477991, 41.52
1480475, 41.46
1482959, 41.49
1485444, 41.48
1487928, 41.43
1490413, 41.41
1492897, 41.36
1495381, 41.31
1497866, 41.39
1500350, 41.39
1502835, 41.40
1505319, 41.40
1507804, 41.40
1510288, 41.37
1512772, 41.40
1515257, 41.42
1517741, 41.39
1520226, 41.37
1522710, 41.35
1525195, 41.37
1527679, 41.33
1530163, 41.37
1532648, 41.38
1535132, 41.42
1537617, 41.38
1540101, 41.37
1542585, 41.29
1545070, 41.27
1547555, 41.28
1550039, 41.21
1552523, 41.26
1555008, 41.29
1557493, 41.22
1559977, 41.24
1562461, 41.26
1564946, 41.23
1567430, 41.18
1569915, 41.20
1572399, 41.24
1574884, 41.20
1577368, 41.20
1579852, 41.22
1582337, 41.19
1584821, 41.22
1587306, 41.18
1589790, 41.20
1592274, 41.19
1594759, 41.18
1597243, 41.20
1599728, 41.18
1602212, 41.15
1604696, 41.14
1607181, 41.12
1609665, 41.14
1612150, 41.10
1614634, 41.08
1617119, 41.14
1619603, 41.13
1622087, 41.14
1624572, 41.08
1627056, 41.06
1629541, 41.09
1632025, 41.05
1634510, 41.08
1636994, 41.05
1639479, 41.05
1641963, 41.02
1644448, 41.02
1646932, 41.05
1649416, 41.01
1651901, 41.01
1654385, 41.02
1656870, 41.05
1659354, 41.04
1661838, 41.05
1664323, 41.06
1666808, 41.06
1669292, 41.01
1671776, 41.05
1674261, 41.10
1676745, 41.06
1679230, 41.07
1681714, 41.07
1684199, 41.10
1686683, 41.10
1689167, 41.14
1691652, 41.09
1694136, 41.09
1696621, 41.13
1699105, 41.10
1701589, 41.07
1704074, 41.11
1706558, 41.12
1709043, 41.06
1711527, 41.06
1714012, 41.05
1716496, 41.07
1718980, 41.06
1721465, 41.09
1723949, 41.05
1726434, 41.04
1728918, 40.99
1731402, 41.04
1733887, 41.02
1736371, 41.02
1738856, 40.98
1741340, 40.98
1743825, 41.01
1746309, 41.01
1748793, 40.99
1751278, 41.00
1753762, 41.01
1756247, 40.99
1758731, 40.91
1761216, 40.96
1763700, 40.97
1766185, 40.93
1768669, 41.01
1771153, 41.01
1773638, 40.99
1776122, 40.98
1778607, 40.96
1781091, 40.97
1783576, 40.98
1786060, 40.95
1788544, 40.93
1791029, 40.92
1793513, 40.90
1795998, 40.89
1798482, 40.93
1800967, 40.91
1803451, 40.91
1805935, 40.87
1808420, 40.89
1810904, 40.82
1813389, 40.85
1815873, 40.80
1818357, 40.78
1820842, 40.74
1823326, 40.71
1825811, 40.72
1828295, 40.66
1830779, 40.73
1833264, 40.68
1835748, 40.67
1838233, 40.69
1840717, 40.66
1843202, 40.65
1845686, 40.65
1848170, 40.64
1850655, 40.66
1853139, 40.62
1855624, 40.64
1858108, 40.60
1860593, 40.65
1863077, 40.64
1865562, 40.59
1868046, 40.66
1870530, 40.63
1873015, 40.62
1875499, 40.63
1877984, 40.61
1880468, 40.64
1882952, 40.65
1885437, 40.60
1887921, 40.65
1890406, 40.61
1892890, 40.63
1895374, 40.63
1897859, 40.64
1900343, 40.65
1902828, 40.66
1905312, 40.63
1907797, 40.65
1910281, 40.60
1912765, 40.62
1915250, 40.61
1917734, 40.62
1920219, 40.57
1922703, 40.55
1925188, 40.58
1927672, 40.62
1930156, 40.58
1932641, 40.54
1935125, 40.63
1937610, 40.62
1940094, 40.57
1942578, 40.59
1945063, 40.59
1947547, 40.60
1950032, 40.57
1952516, 40.52
1955000, 40.55
1957485, 40.50
1959969, 40.46
1962454, 40.52
1964938, 40.46
1967423, 40.45
1969907, 40.43
1972391, 40.40
1974876, 40.38
1977360, 40.41
1979845, 40.35
1982329, 40.34
1984813, 40.31
1987298, 40.29
1989782, 40.32
1992267, 40.25
1994751, 40.37
1997235, 40.34
1999720, 40.31
2002204, 40.33
2004689, 40.28
2007173, 40.33
2009658, 40.34
2012142, 40.32
2014626, 40.30
2017111, 40.30
2019595, 40.28
2022080, 40.28
2024564, 40.23
2027048, 40.21
2029533, 40.21
2032017, 40.21
2034502, 40.17
2036987, 40.17
2039471, 40.15
2041955, 40.19
2044440, 40.18
2046924, 40.20
2049409, 40.23
2051893, 40.21
2054377, 40.12
2056862, 40.16
2059346, 40.14
2061831, 40.17
2064315, 40.14
2066800, 40.11
2069284, 40.13
2071769, 40.11
2074253, 40.16
2076738, 40.15
2079222, 40.17
2081706, 40.10
2084191, 40.15
2086675, 40.11
2089160, 40.09
2091644, 40.14
2094128, 40.13
2096613, 40.16
2099097, 40.13
2101582, 40.11
2104066, 40.09
2106551, 40.07
2109035, 40.10
2111519, 40.04
2114004, 40.05
2116488, 39.96
2118973, 40.00
2121457, 39.96
2123941, 39.92
2126426, 39.93
2128911, 39.99
2131395, 39.95
2133879, 39.98
2136364, 39.97
2138848, 40.01
2141333, 40.00
2143817, 39.98
2146302, 39.99
2148786, 39.94
2151270, 39.93
2153755, 39.89
2156239, 39.91
2158724, 39.92
2161208, 39.94
2163693, 39.99
2166177, 40.00
2168661, 39.98
2171146, 40.02
2173630, 40.01
2176115, 40.00
2178599, 40.02
2181083, 40.04
2183568, 40.00
2186052, 39.99
2188537, 39.96
2191021, 39.97
2193505, 39.97
2195990, 39.98
2198474, 40.01
2200959, 39.97
2203443, 39.97
2205927, 39.96
2208412, 39.93
2210896, 39.95
2213381, 39.95
2215865, 39.95
2218350, 39.93
2220834, 39.91
2223318, 39.95
2225803, 39.86
2228287, 39.87
2230772, 39.90
2233256, 39.90
2235740, 39.87
2238225, 39.84
2240709, 39.82
2243194, 39.82
2245678, 39.82
2248162, 39.75
2250647, 39.77
2253131, 39.75
2255616, 39.79
2258100, 39.78
2260585, 39.76
2263069, 39.78
2265553, 39.73
2268038, 39.78
2270522, 39.80
2273007, 39.83
2275491, 39.84
2277975, 39.74
2280460, 39.81
2282944, 39.80
2285429, 39.72
2287913, 39.74
2290398, 39.78
2292882, 39.78
2295366, 39.76
2297851, 39.74
2300335, 39.75
2302820, 39.76
2305304, 39.71
2307788, 39.72
2310273, 39.72
2312757, 39.75
2315242, 39.76
2317726, 39.74
2320211, 39.70
2322695, 39.65
2325179, 39.67
2327664, 39.68
2330148, 39.70
2332633, 39.71
2335117, 39.70
2337601, 39.64
2340086, 39.61
2342571, 39.62
2345055, 39.59
2347539, 39.61
2350024, 39.60
2352508, 39.66
2354993, 39.64
2357477, 39.63
2359962, 39.64
2362446, 39.66
2364930, 39.66
2367415, 39.62
2369899, 39.64
2372384, 39.60
2374868, 39.67
2377352, 39.71
2379837, 39.67
2382321, 39.67
2384806, 39.75
2387290, 39.71
2389775, 39.66
2392259, 39.63
2394743, 39.66
2397228, 39.65
2399712, 39.63
2402197, 39.65
2404681, 39.62
2407165, 39.65
2409650, 39.64
2412134, 39.60
2414619, 39.62
2417103, 39.55
2419588, 39.58
2422072, 39.59
2424556, 39.58
2427041, 39.57
2429525, 39.59
2432010, 39.57
2434494, 39.54
2436978, 39.58
2439463, 39.60
2441947, 39.63
2444432, 39.59
2446916, 39.56
2449401, 39.55
2451885, 39.59
2454369, 39.58
2456854, 39.54
2459338, 39.53
2461823, 39.53
2464307, 39.58
2466792, 39.53
2469276, 39.59
2471761, 39.59
2474245, 39.57
2476730, 39.56
2479214, 39.57
2481699, 39.57
2484183, 39.59
2486667, 39.55
2489152, 39.55
2491637, 39.60
2494121, 39.57
2496605, 39.56
2499090, 39.57
2501574, 39.56
2504059, 39.55
2506543, 39.56
2509027, 39.54
2511512, 39.54
2513996, 39.51
2516481, 39.62
2518965, 39.52
2521450, 39.55
2523934, 39.53
2526418, 39.53
2528903, 39.52
2531387, 39.54
2533872, 39.50
2536356, 39.54
2538840, 39.52
2541325, 39.56
2543809, 39.56
2546294, 39.59
2548778, 39.56
2551262, 39.52
2553747, 39.54
2556232, 39.50
2558716, 39.45
2561201, 39.46
2563685, 39.49
2566169, 39.44
2568654, 39.44
2571138, 39.44
2573623, 39.43
2576107, 39.43
2578591, 39.42
2581076, 39.37
2583560, 39.41
2586045, 39.45
2588529, 39.46
2591014, 39.44
2593498, 39.38
2595982, 39.40
2598467, 39.39
2600951, 39.42
2603436, 39.42
2605920, 39.43
2608405, 39.42
2610889, 39.39
2613373, 39.36
2615858, 39.39
2618342, 39.36
2620827, 39.36
2623311, 39.36
2625795, 39.38
2628280, 39.34
2630764, 39.37
2633249, 39.35
2635733, 39.34
2638218, 39.39
2640702, 39.35
2643187, 39.33
2645671, 39.30
2648155, 39.33
2650640, 39.33
2653124, 39.26
2655609, 39.31
2658093, 39.30
2660577, 39.30
2663062, 39.30
2665546, 39.29
2668031, 39.27
2670515, 39.32
2673000, 39.26
2675484, 39.25
2677968, 39.33
2680453, 39.25
2682938, 39.30
2685422, 39.32
2687906, 39.27
2690391, 39.27
2692875, 39.22
2695360, 39.30
2697844, 39.31
2700328, 39.32
2702813, 39.34
2705297, 39.31
2707782, 39.27
2710266, 39.31
2712751, 39.27
2715235, 39.27
2717719, 39.27
2720204, 39.29
2722688, 39.23
2725173, 39.24
2727657, 39.23
2730142, 39.26
2732626, 39.22
2735110, 39.24
2737595, 39.28
2740079, 39.28
2742564, 39.26
2745048, 39.25
2747532, 39.24
2750017, 39.18
2752501, 39.14
2754986, 39.12
2757470, 39.17
2759954, 39.14
2762439, 39.12
2764923, 39.11
2767408, 39.10
2769892, 39.10
2772376, 39.09
2774861, 39.10
2777345, 39.13
2779830, 39.08
2782314, 39.09
2784799, 39.07
2787283, 39.10
2789767, 39.03
2792252, 39.05
2794736, 39.03
2797221, 38.99
2799705, 39.04
2802189, 39.09
2804674, 39.07
2807158, 39.10
2809643, 39.08
2812127, 39.05
2814612, 39.11
2817096, 39.08
2819580, 39.11
2822065, 39.09
2824549, 39.11
2827034, 39.08
2829518, 39.09
2832002, 39.10
2834487, 39.10
2836972, 39.13
2839456, 39.07
2841940, 39.12
2844425, 39.10
2846909, 39.08
2849394, 39.08
2851878, 39.10
2854363, 39.11
2856847, 39.14
2859331, 39.17
2861816, 39.16
2864300, 39.11
2866785, 39.15
2869269, 39.16
2871754, 39.13
2874238, 39.15
2876723, 39.18
2879207, 39.18
2881691, 39.12
2884176, 39.07
2886661, 39.15
2889145, 39.07
2891629, 39.09
2894114, 39.10
2896598, 39.08
2899083, 39.10
2901568, 39.05
2904052, 39.04
2906536, 39.06
2909021, 39.02
2911505, 39.06
2913990, 39.06
2916474, 39.03
2918958, 39.01
2921443, 39.06
2923927, 39.08
2926412, 39.04
2928896, 39.01
2931381, 39.02
2933865, 39.03
2936349, 39.00
2938834, 39.02
2941318, 39.00
2943803, 39.02
2946287, 39.00
2948771, 39.00
2951256, 38.99
2953740, 39.03
2956225, 39.01
2958709, 38.99
2961193, 38.99
2963678, 38.98
2966162, 39.05
2968647, 38.98
2971131, 39.05
2973616, 38.98
2976100, 38.99
2978584, 39.03
2981069, 38.97
2983553, 38.98
2986038, 39.01
2988522, 38.97
2991007, 38.95
2993491, 38.93
2995976, 38.93
2998460, 38.94
3000945, 38.94
3003429, 38.91
3005913, 38.96
3008398, 38.95
3010882, 38.96
3013367, 38.93
3015851, 38.95
3018336, 38.92
3020820, 38.94
3023304, 38.96
3025789, 38.98
3028273, 38.99
3030758, 38.95
3033242, 38.97
3035726, 38.98
3038211, 39.00
3040695, 38.98
3043180, 38.99
3045664, 38.94
3048148, 38.98
3050633, 38.92
3053117, 38.95
3055602, 38.94
3058086, 38.94
3060570, 38.96
3063055, 39.00
3065539, 38.97
3068024, 38.99
3070508, 39.00
3072993, 38.98
3075477, 38.95
3077961, 39.02
3080446, 39.00
3082930, 38.97
3085415, 38.97
3087899, 38.97
3090383, 38.97
3092868, 38.96
3095352, 38.96
3097837, 39.01
3100321, 39.01
3102805, 39.01
3105290, 39.00
3107774, 38.96
3110259, 38.97
3112743, 38.99
3115228, 39.00
3117712, 38.93
3120196, 38.96
3122681, 38.98
3125165, 38.99
3127650, 38.90
3130134, 38.91
3132618, 38.94
3135103, 38.91
3137587, 38.91
3140072, 38.92
3142556, 38.91
3145040, 38.92
3147525, 38.89
3150009, 38.91
3152494, 38.97
3154978, 38.94
3157463, 38.98
3159947, 39.00
3162431, 39.03
3164916, 39.05
3167400, 39.03
3169885, 39.05
3172369, 39.03
3174854, 39.07
3177338, 39.02
3179822, 39.05
3182307, 38.99
3184791, 39.04
3187276, 38.97
3189760, 39.01
3192244, 39.02
3194729, 38.96
3197213, 38.98
3199698, 39.00
3202182, 38.93
3204667, 38.92
3207151, 38.97
3209635, 38.95
3212120, 38.95
3214604, 39.00
3217089, 38.97
3219573, 38.96
3222057, 38.98
3224542, 38.96
3227026, 38.94
3229511, 39.01
3231995, 38.97
3234479, 38.98
3236964, 38.97
3239448, 38.94
3241933, 38.94
3244417, 38.95
3246901, 38.94
3249386, 38.98
3251870, 38.87
3254355, 38.91
3256839, 38.93
3259323, 38.94
3261808, 38.89
3264292, 38.88
3266777, 38.95
3269261, 38.92
3271746, 38.91
3274230, 38.91
3276714, 38.92
3279199, 38.89
3281683, 38.91
3284168, 38.92
3286652, 38.87
3289136, 38.94
3291621, 38.96
3294105, 38.98
3296590, 38.97
3299074, 38.96
3301559, 38.93
3304043, 38.91
3306528, 38.86
3309012, 38.97
3311497, 38.97
3313981, 38.96
3316465, 38.93
3318950, 38.94
3321434, 38.88
3323919, 38.90
3326403, 38.90
3328888, 38.90
3331372, 38.91
3333856, 38.89
3336341, 38.85
3338825, 38.80
3341310, 38.81
3343794, 38.86
3346278, 38.80
3348763, 38.80
3351247, 38.82
3353732, 38.83
3356216, 38.84
3358700, 38.88
3361185, 38.85
3363669, 38.86
3366154, 38.84
3368638, 38.85
3371123, 38.88
3373607, 38.86
3376091, 38.88
3378576, 38.85
3381060, 38.88
3383545, 38.91
3386029, 38.88
3388513, 38.86
3390998, 38.90
3393482, 38.94
3395967, 38.94
3398451, 38.95
3400935, 38.95
3403420, 38.90
3405905, 38.96
3408389, 38.92
3410874, 38.92
3413358, 38.94
3415842, 38.94
3418327, 38.90
3420811, 38.90
3423296, 38.96
3425780, 38.96
3428264, 38.93
3430749, 38.99
3433233, 38.96
3435718, 38.95
3438202, 38.97
3440686, 38.98
3443171, 38.99
3445655, 38.94
3448140, 38.93
3450624, 38.91
3453108, 38.96
3455593, 38.96
3458077, 38.95
3460562, 38.99
3463046, 38.95
3465531, 38.98
3468015, 38.96
3470499, 38.94
3472984, 38.99
3475468, 39.01
3477953, 38.98
3480437, 38.97
3482921, 38.97
3485406, 39.00
3487890, 39.02
3490375, 39.03
3492859, 39.03
3495343, 39.03
3497828, 39.02
3500312, 39.01
3502797, 38.96
3505281, 38.98
3507766, 38.97
3510250, 38.97
3512735, 38.99
3515219, 38.90
3517704, 38.92
3520188, 38.95
3522672, 38.89
3525157, 38.89
3527641, 38.90
3530126, 38.86
3532610, 38.86
3535094, 38.88
3537579, 38.86
3540063, 38.88
3542548, 38.86
3545032, 38.85
3547517, 38.87
3550001, 38.88
3552485, 38.90
3554970, 38.84
3557454, 38.86
3559938, 38.93
3562423, 38.93
3564907, 38.90
3567392, 38.94
3569876, 38.93
3572361, 38.95
3574845, 39.00
3577329, 38.97
3579814, 39.00
3582298, 39.01
3584783, 38.97
3587267, 38.99
3589752, 38.95
3592236, 38.90
3594720, 38.98
3597205, 39.00
3599689, 38.89
3602174, 38.99
3604658, 38.97
3607143, 39.03
3609627, 38.95
3612111, 38.93
3614596, 38.91
3617080, 39.00
3619565, 38.91
3622049, 38.93
3624533, 38.98
3627018, 38.92
3629502, 38.92
3631987, 38.94
3634471, 38.90
3636956, 38.93
3639440, 38.95
3641924, 38.93
3644409, 38.90
3646893, 38.89
3649378, 38.90
3651862, 38.89
3654346, 38.92
3656831, 38.91
3659315, 38.92
3661800, 38.91
3664284, 38.90
3666768, 38.87
3669253, 38.91
3671737, 38.87
3674222, 38.90
3676706, 38.89
3679191, 38.93
3681675, 38.92
3684159, 38.88
3686644, 38.88
3689128, 38.91
3691613, 38.85
3694097, 38.89
3696581, 38.88
3699066, 38.87
3701550, 38.81
3704035, 38.82
3706519, 38.83
3709003, 38.84
3711488, 38.85
3713972, 38.80
3716457, 38.82
3718941, 38.76
3721426, 38.78
3723910, 38.78
3726394, 38.74
3728879, 38.73
3731363, 38.75
3733847, 38.73
3736332, 38.71
3738816, 38.80
3741301, 38.76
3743785, 38.73
3746270, 38.73
3748754, 38.72
3751238, 38.68
3753723, 38.70
3756207, 38.67
3758692, 38.70
3761176, 38.65
3763660, 38.68
3766145, 38.61
3768629, 38.73
3771114, 38.73
3773598, 38.70
3776082, 38.74
3778567, 38.70
3781051, 38.72
3783536, 38.75
3786020, 38.75
3788505, 38.73
3790989, 38.72
3793473, 38.75
3795958, 38.73
3798442, 38.75
3800927, 38.71
3803411, 38.75
3805895, 38.70
3808380, 38.69
3810864, 38.62
3813349, 38.69
3815833, 38.67
3818318, 38.66
3820802, 38.62
3823287, 38.61
3825771, 38.63
3828256, 38.63
3830740, 38.63
3833224, 38.59
3835709, 38.62
3838193, 38.61
3840678, 38.59
3843162, 38.55
3845647, 38.56
3848131, 38.58
3850615, 38.62
3853100, 38.66
3855584, 38.63
3858069, 38.67
3860553, 38.66
3863037, 38.67
3865522, 38.66
3868006, 38.65
3870491, 38.66
3872975, 38.69
3875460, 38.70
3877944, 38.71
3880428, 38.73
3882913, 38.73
3885397, 38.74
3887882, 38.75
3890366, 38.68
3892851, 38.73
3895335, 38.71
3897819, 38.69
3900304, 38.69
3902788, 38.63
3905273, 38.62
3907757, 38.55
3910241, 38.53
3912726, 38.49
3915210, 38.48
3917695, 38.53
3920179, 38.52
3922664, 38.52
3925148, 38.56
3927632, 38.63
3930117, 38.62
3932601, 38.59
3935086, 38.63
3937570, 38.67
3940054, 38.65
3942539, 38.65
3945023, 38.61
3947508, 38.65
3949992, 38.61
3952476, 38.63
3954961, 38.60
3957445, 38.61
3959930, 38.63
3962414, 38.57
3964898, 38.52
3967383, 38.54
3969867, 38.47
3972352, 38.53
